time,queueLength
1652951448,L0: Virtually empty
1652954090,L5: Past first desk
1652954561,L4: Starting to corner
1652954628,L4: Starting to corner
1652954973,L3: Within first room
1652955206,L3: Within first room
1652955350,L4: Starting to corner
1652955354,L4: Starting to corner
1652955467,L4: Starting to corner
1652955655,L4: Starting to corner
1652955746,L5: Past first desk
1652956109,L3: Within first room
1652956128,L3: Within first room
1652956465,L4: Starting to corner
1652956483,L4: Starting to corner
1652956553,L5: Past first desk
1652956553,L4: Starting to corner
1652956561,L5: Past first desk
1652956632,L5: Past first desk
1652956744,L6: Past second desk
1652956755,L6: Past second desk
1652956947,L5: Past first desk
1652957043,L5: Past first desk
1652957154,L5: Past first desk
1652957190,L4: Starting to corner
1652957231,L4: Starting to corner
1652957285,L4: Starting to corner
1652957406,L3: Within first room
1652958616,L4: Starting to corner
1652959220,L2: Up to food trays
1652959805,L1: Within kitchen
1652959834,L1: Within kitchen
1652959864,L0: Virtually empty
1652960956,L3: Within first room
1652961523,L5: Past first desk
1652961527,L5: Past first desk
1652961529,L5: Past first desk
1652961530,L5: Past first desk
1653033737,L0: Virtually empty
1653041249,L1: Within kitchen
1653041707,L1: Within kitchen
1653042605,L3: Within first room
1653042663,L3: Within first room
1653042744,L2: Up to food trays
1653043036,L1: Within kitchen
1653044355,L0: Virtually empty
1653297459,L0: Virtually empty
1653297474,L0: Virtually empty
1653300288,L1: Within kitchen
1653300543,L2: Up to food trays
1653301212,L1: Within kitchen
1653301223,L1: Within kitchen
1653301469,L0: Virtually empty
1653302007,L0: Virtually empty
1653302512,L3: Within first room
1653302550,L3: Within first room
1653302560,L3: Within first room
1653302780,L3: Within first room
1653303396,L3: Within first room
1653306227,L0: Virtually empty
1653384116,L0: Virtually empty
1653386711,L4: Starting to corner
1653387989,L1: Within kitchen
1653388040,L1: Within kitchen
1653388520,L3: Within first room
1653388527,L3: Within first room
1653388558,L3: Within first room
1653388574,L3: Within first room
1653388623,L3: Within first room
1653388648,L3: Within first room
1653388697,L3: Within first room
1653388745,L4: Starting to corner
1653388778,L3: Within first room
1653388887,L3: Within first room
1653388889,L3: Within first room
1653388889,L3: Within first room
1653388890,L3: Within first room
1653388890,L3: Within first room
1653388890,L3: Within first room
1653388890,L3: Within first room
1653388890,L3: Within first room
1653388890,L3: Within first room
1653388891,L3: Within first room
1653388891,L3: Within first room
1653388891,L3: Within first room
1653388891,L3: Within first room
1653388892,L3: Within first room
1653388892,L3: Within first room
1653388892,L3: Within first room
1653388893,L3: Within first room
1653388893,L3: Within first room
1653388893,L3: Within first room
1653388893,L3: Within first room
1653388893,L3: Within first room
1653388894,L3: Within first room
1653388894,L3: Within first room
1653388894,L3: Within first room
1653388894,L3: Within first room
1653388895,L3: Within first room
1653388895,L3: Within first room
1653388895,L3: Within first room
1653389030,L4: Starting to corner
1653389317,L3: Within first room
1653389707,L3: Within first room
1653390900,L0: Virtually empty
1653392950,L2: Up to food trays
1653473481,L0: Virtually empty
1653474263,L0: Virtually empty
1653474881,L3: Within first room
1653475191,L3: Within first room
1653475286,L3: Within first room
1653475395,L2: Up to food trays
1653475499,L2: Up to food trays
1653476179,L1: Within kitchen
1653478485,L1: Within kitchen
1653903249,L2: Up to food trays
1653905040,L0: Virtually empty
1653905041,L0: Virtually empty
1653905048,L1: Within kitchen
1653905687,L2: Up to food trays
1653905928,L1: Within kitchen
1653905948,L1: Within kitchen
1653905957,L1: Within kitchen
1653906449,L0: Virtually empty
1653906620,L0: Virtually empty
1653906905,L1: Within kitchen
1653907011,L1: Within kitchen
1653907118,L2: Up to food trays
1653907317,L3: Within first room
1653907749,L2: Up to food trays
1653991147,L7: Up to stairs
1653992192,L6: Past second desk
1653992510,L5: Past first desk
1653992866,L4: Starting to corner
1653993012,L4: Starting to corner
1653993159,L3: Within first room
1653993278,L4: Starting to corner
1653993431,L5: Past first desk
1653993469,L5: Past first desk
1653993487,L5: Past first desk
1653993554,L7: Up to stairs
1653993582,L7: Up to stairs
1653993593,L7: Up to stairs
1653993597,L8: Even longer
1653993623,L7: Up to stairs
1653993712,L6: Past second desk
1653993723,L7: Up to stairs
1653993730,L6: Past second desk
1653993845,L6: Past second desk
1653993876,L6: Past second desk
1653993958,L6: Past second desk
1653994107,L7: Up to stairs
1653994536,L5: Past first desk
1653994660,L4: Starting to corner
1653994670,L4: Starting to corner
1654076818,L7: Up to stairs
1654078683,L0: Virtually empty
1654079405,L1: Within kitchen
1654079864,L2: Up to food trays
1654079988,L3: Within first room
1654080152,L3: Within first room
1654080219,L2: Up to food trays
1654161640,L0: Virtually empty
1654161642,L0: Virtually empty
1654165023,L0: Virtually empty
1654165886,L2: Up to food trays
1654166075,L1: Within kitchen
1654166188,L1: Within kitchen
1654166372,L0: Virtually empty
1654166509,L2: Up to food trays
1654167084,L2: Up to food trays
1654247743,L0: Virtually empty
1654247757,L0: Virtually empty
1654251091,L1: Within kitchen
1654251343,L0: Virtually empty
1654251626,L0: Virtually empty
1654593150,L0: Virtually empty
1654596644,L1: Within kitchen
1654597745,L1: Within kitchen
1654598406,L2: Up to food trays
1654598406,L2: Up to food trays
1654598423,L2: Up to food trays
1654598623,L4: Starting to corner
1654682707,L2: Up to food trays
1654684488,L0: Virtually empty
1654685290,L0: Virtually empty
1654768325,L4: Starting to corner
1654769617,L3: Within first room
1654770036,L2: Up to food trays
1654770122,L3: Within first room
1654770356,L3: Within first room
1654770472,L4: Starting to corner
1654771095,L2: Up to food trays
1654771115,L1: Within kitchen
1654771141,L1: Within kitchen
1654771191,L2: Up to food trays
1654771219,L3: Within first room
1654771259,L4: Starting to corner
1654771336,L4: Starting to corner
1654771536,L3: Within first room
1654771608,L4: Starting to corner
1654854564,L0: Virtually empty
1654858335,L0: Virtually empty
1654858972,L0: Virtually empty
1655113948,L4: Starting to corner
1655114190,L5: Past first desk
1655114512,L4: Starting to corner
1655116241,L0: Virtually empty
1655116253,L0: Virtually empty
1655118358,L0: Virtually empty
1655118566,L0: Virtually empty
1655118629,L1: Within kitchen
1655201713,L4: Starting to corner
1655202087,L4: Starting to corner
1655202138,L3: Within first room
1655202452,L3: Within first room
1655202546,L3: Within first room
1655203010,L4: Starting to corner
1655286741,L4: Starting to corner
1655288031,L3: Within first room
1655288099,L5: Past first desk
1655288797,L7: Up to stairs
1655288875,L6: Past second desk
1655289003,L7: Up to stairs
1655289054,L8: Even longer
1655289104,L7: Up to stairs
1655289941,L5: Past first desk
1655289987,L7: Up to stairs
1655290281,L3: Within first room
1655290418,L3: Within first room
1655291701,L0: Virtually empty
1655374658,L2: Up to food trays
1655374706,L3: Within first room
1655374844,L1: Within kitchen
1655375971,L2: Up to food trays
1655376141,L2: Up to food trays
1655377060,L1: Within kitchen
1655460778,L1: Within kitchen
1655461637,L0: Virtually empty
1655717665,L0: Virtually empty
1655719488,L0: Virtually empty
1655720487,L0: Virtually empty
1655723229,L0: Virtually empty
1655806522,L5: Past first desk
1655806594,L6: Past second desk
1655806596,L6: Past second desk
1655807376,L3: Within first room
1655807384,L2: Up to food trays
1655807615,L2: Up to food trays
1655807796,L3: Within first room
1655807834,L5: Past first desk
1655807924,L4: Starting to corner
1655808241,L4: Starting to corner
1655808504,L5: Past first desk
1655809156,L2: Up to food trays
1655809180,L2: Up to food trays
1655809657,L1: Within kitchen
1655812249,L2: Up to food trays
1655892850,L1: Within kitchen
1655893904,L2: Up to food trays
1655894488,L4: Starting to corner
1655894525,L4: Starting to corner
1655894731,L4: Starting to corner
1655894808,L3: Within first room
1655894907,L2: Up to food trays
1655895366,L0: Virtually empty
1655902543,L2: Up to food trays
1655977242,L0: Virtually empty
1655979974,L0: Virtually empty
1655980787,L1: Within kitchen
1655981817,L0: Virtually empty
1655983095,L0: Virtually empty
1656064450,L0: Virtually empty
1656065887,L0: Virtually empty
1656067124,L1: Within kitchen
1656067140,L0: Virtually empty
